,CountryCode,ShortName,TableName,LongName,Alpha2Code,CurrencyUnit,SpecialNotes,Region,IncomeGroup,Wb2Code,NationalAccountsBaseYear,NationalAccountsReferenceYear,SnaPriceValuation,LendingCategory,OtherGroups,SystemOfNationalAccounts,AlternativeConversionFactor,PppSurveyYear,BalanceOfPaymentsManualInUse,ExternalDebtReportingStatus,SystemOfTrade,GovernmentAccountingConcept,ImfDataDisseminationStandard,LatestPopulationCensus,LatestHouseholdSurvey,SourceOfMostRecentIncomeAndExpenditureData,VitalRegistrationComplete,LatestAgriculturalCensus,LatestIndustrialData,LatestTradeData,LatestWaterWithdrawalData,gaseous,co2,liq,solid,life,population,export
48,HRV,Croatia,Croatia,Republic of Croatia,HR,Croatian kuna,"The new reference year for chain linked series is 2010. April 2013 database update: Based on official government statistics, the base year for constant price series changed to 2005.",Europe & Central Asia,High income: nonOECD,HR,Original chained constant price data are rescaled.,2010,Value added at basic prices (VAB),IBRD,,Country uses the 1993 System of National Accounts methodology.,,Rolling,"IMF Balance of Payments Manual, 6th edition.",,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2011,"World Health Survey (WHS), 2003","Integrated household survey (IHS), 2011",Yes,2010,,2013.0,2010.0,28.8572933122696,20890.898999999998,50.0087765490609,14.7797086185712,76.4756097560976,4417781.0,70.505698070611
49,CUB,Cuba,Cuba,Republic of Cuba,CU,Cuban peso,,Latin America & Caribbean,Upper middle income,CU,1997,2005,Value added at basic prices (VAB),,,Country uses the 1993 System of National Accounts methodology.,,2011,,,Special trade system,,,2012,"Multiple Indicator Cluster Survey (MICS), 2014",,Yes,,,2006.0,2007.0,5.3723353407896,38360.487,92.33342892648892,0.200745626613135,78.9356341463415,11308133.0,54.259184473023204
50,CUW,Curaçao,Curaçao,Curaçao,CW,Netherlands Antillean guilder,,Latin America & Caribbean,High income: nonOECD,CW,,,,,,Country uses the 1993 System of National Accounts methodology.,,2011,,,,,,2011,,,Yes,,2010.0,,,,,,,,148703.0,
51,CYP,Cyprus,Cyprus,Republic of Cyprus,CY,Euro,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate entered into force on January 1, 2008: 1 euro = 0.585274 Cyprus pounds. Please note that historical data are not actual euros and are not comparable or suitable for aggregation across countries.",Europe & Central Asia,High income: nonOECD,CY,Original chained constant price data are rescaled.,2005,Value added at basic prices (VAB),,Euro area,Country uses the 1993 System of National Accounts methodology.,,Rolling,"IMF Balance of Payments Manual, 6th edition.",,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2011,,,Yes,2010,2011.0,2013.0,2009.0,0.0,7708.034000000001,90.4376784015224,0.903901046622265,79.3819512195122,1103685.0,69.3914084002527
52,CZE,Czech Republic,Czech Republic,Czech Republic,CZ,Czech koruna,,Europe & Central Asia,High income: OECD,CZ,Original chained constant price data are rescaled.,2010,Value added at basic prices (VAB),,,Country uses the 2008 System of National Accounts methodology.,,Rolling,"IMF Balance of Payments Manual, 6th edition.",,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2011,"World Health Survey (WHS), 2003","Integrated household survey (IHS), 2012",Yes,2010,2010.0,2013.0,2007.0,15.6518010291595,111168.772,18.1158464177332,64.73149492017421,77.42439024390251,10474410.0,92.03108418434843
53,PRK,Dem. People's Rep. Korea,"Korea, Dem. Rep.",Democratic People's Republic of Korea,KP,Democratic People's Republic of Korean won,,East Asia & Pacific,Low income,KP,,,,,,Country uses the 1968 System of National Accounts methodology.,,,"IMF Balance of Payments Manual, 6th edition.",,,,,2008,"Multiple Indicator Cluster Survey (MICS), 2009",,,,,,2005.0,0.0,72492.923,3.54595578936719,92.05827305377107,68.9000243902439,24500506.0,13.037025059349999
54,ZAR,Dem. Rep. Congo,"Congo, Dem. Rep.",Democratic Republic of the Congo,CD,Congolese franc,Based on official government statistics; the new base year 2005.,Sub-Saharan Africa,Low income,ZR,2005,,Value added at basic prices (VAB),IDA,HIPC,Country uses the 1968 System of National Accounts methodology.,19992001,2011,"IMF Balance of Payments Manual, 6th edition.",Preliminary,Special trade system,Consolidated central government,General Data Dissemination System (GDDS),1984,"Demographic and Health Survey (DHS), 2013/14","1-2-3 survey (1-2-3), 2005/06",,,,,2005.0,0.450958286358512,3252.6290000000004,53.1003382187148,38.782412626832,56.89614634146339,65938712.0,25.5976804745045
55,DNK,Denmark,Denmark,Kingdom of Denmark,DK,Danish krone,,Europe & Central Asia,High income: OECD,DK,Original chained constant price data are rescaled.,2010,Value added at basic prices (VAB),,,Country uses the 2008 System of National Accounts methodology.,,Rolling,"IMF Balance of Payments Manual, 6th edition.",,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2011,,"Income tax registers (ITR), 2010",Yes,2010,2010.0,2013.0,2009.0,21.755905511810997,46570.9,42.716535433070895,32.85039370078739,79.1,5547683.0,91.2163459626865
56,DJI,Djibouti,Djibouti,Republic of Djibouti,DJ,Djibouti franc,,Middle East & North Africa,Lower middle income,DJ,1990,,Value added at basic prices (VAB),IDA,,Country uses the 1968 System of National Accounts methodology.,,2011,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,,General Data Dissemination System (GDDS),2009,"Multiple Indicator Cluster Survey (MICS), 2006","Priority survey (PS), 2002",,,,2009.0,2000.0,0.0,517.047,100.0,0.0,60.3606829268293,830802.0,9.22572568002281
57,DMA,Dominica,Dominica,Commonwealth of Dominica,DM,East Caribbean dollar,"April 2012 database update: Based on official government statistics, national accounts data were revised for 2000 onward; the base year changed to 2006.",Latin America & Caribbean,Upper middle income,DM,2006,,Value added at basic prices (VAB),Blend,,Country uses the 1993 System of National Accounts methodology.,,2011,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Budgetary central government,General Data Dissemination System (GDDS),2011,,,Yes,,,2012.0,2004.0,0.0,135.679,100.0,0.0,,71167.0,74.1720480665172
58,DOM,Dominican Republic,Dominican Republic,Dominican Republic,DO,Dominican peso,,Latin America & Caribbean,Upper middle income,DO,2007,,Value added at basic prices (VAB),IBRD,,Country uses the 1993 System of National Accounts methodology.,,2011,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Consolidated central government,General Data Dissemination System (GDDS),2010,"Multiple Indicator Cluster Survey (MICS), 2014","Integrated household survey (IHS), 2012",,2012/13,,2012.0,2005.0,7.74116031582561,21363.942000000003,71.9704771713011,13.2852729145211,72.7498048780488,9897983.0,67.7882886087642
59,EAS,East Asia & Pacific (all income levels),East Asia & Pacific (all income levels),East Asia & Pacific (all income levels),Z4,,East Asia and Pacific regional aggregate (including high-income economies).,,,Z4,,,,,,,,,,,,,,,,,,,,,,7.117498423225981,12023440.4986598,21.434451831860198,62.48342747190411,74.1318895358278,2204603325.0,61.9196846135257
60,EAP,East Asia & Pacific (developing only),East Asia & Pacific,East Asia & Pacific (developing only),4E,,East Asia and Pacific regional aggregate (does not include high-income economies).,,,4E,,,,,,,,,,,,,,,,,,,,,,4.62603931258609,9559083.330464501,17.5525363639503,67.1621346818658,73.1884378044482,1963842316.0,72.8445903029225
61,ECU,Ecuador,Ecuador,Republic of Ecuador,EC,U.S. dollar,National accounts have been revised from 1965 onward based on official government data; the new base year is 2007. The large upward changes are due to an improved calculation method for nominal GDP.,Latin America & Caribbean,Upper middle income,EC,2007,,Value added at basic prices (VAB),IBRD,,Country uses the 2008 System of National Accounts methodology.,,2011,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Budgetary central government,Special Data Dissemination Standard (SDDS),2010,"Reproductive Health Survey (RHS), 2004","Integrated household survey (IHS), 2013",,2013/15,2008.0,2013.0,2005.0,2.8372591006424,34249.78,86.3918629550321,0.0,75.02980487804881,14934692.0,66.3799614289541
62,EGY,Egypt,"Egypt, Arab Rep.",Arab Republic of Egypt,EG,Egyptian pound,Fiscal year end: June 30; reporting period for national accounts data: FY. The new base year is 2001/02.,Middle East & North Africa,Lower middle income,EG,2001/02,,Value added at basic prices (VAB),IBRD,,Country uses the 1993 System of National Accounts methodology.,,2011,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2006,"Demographic and Health Survey (DHS), 2014","Expenditure survey/budget survey (ES/BS), 2011",Yes,2009/2010,2010.0,2013.0,2000.0,42.747599254694,204677.272,43.5717357030242,2.03167550523147,70.3402926829268,82040994.0,54.4415815334595
63,SLV,El Salvador,El Salvador,Republic of El Salvador,SV,U.S. dollar,,Latin America & Caribbean,Lower middle income,SV,1990,,Value added at basic prices (VAB),IBRD,,Country uses the 1968 System of National Accounts methodology.,,2011,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2007,"Multiple Indicator Cluster Survey (MICS), 2014","Integrated household survey (IHS), 2012",Yes,2007/2008,,2013.0,2005.0,0.0,6307.24,90.5232558139535,0.0,71.67060975609759,6038306.0,57.00583140748
64,GNQ,Equatorial Guinea,Equatorial Guinea,Republic of Equatorial Guinea,GQ,Central African CFA franc,National accounts have been revised from 1980 onward based on IMF data and official government statistics; the new base year is 2006.,Sub-Saharan Africa,High income: nonOECD,GQ,2006,,Value added at basic prices (VAB),IBRD,,Country uses the 1968 System of National Accounts methodology.,196584,2011,,,General trade system,Budgetary central government,,2002,"Demographic and Health Survey (DHS), 2011","Priority survey (PS), 2006",,,,,2000.0,64.8119122257053,4679.092000000001,13.0094043887147,0.0,55.971000000000004,728710.0,84.85134756336691
65,ERI,Eritrea,Eritrea,State of Eritrea,ER,Eritrean nakfa,"April 2013 database update: Based on IMF data, national accounts data were revised for 2000 onward; the base year changed to 2000.",Sub-Saharan Africa,Low income,ER,2000,,Value added at basic prices (VAB),IDA,HIPC,Country uses the 1968 System of National Accounts methodology.,,,"IMF Balance of Payments Manual, 6th edition.",Estimate,,,,1984,"Demographic and Health Survey (DHS), 2002","Priority survey (PS), 1993",,,2011.0,2003.0,2004.0,0.0,513.38,95.7142857142857,0.0,61.46614634146339,4689664.0,
66,EST,Estonia,Estonia,Republic of Estonia,EE,Euro,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate entered into force on January 1, 2011: 1 euro = 15.6466 Estonian kroon. Please note that historical data are not actual euros and are not comparable or suitable for aggregation across countries.",Europe & Central Asia,High income: OECD,EE,Original chained constant price data are rescaled.,2010,Value added at basic prices (VAB),,Euro area,Country uses the 2008 System of National Accounts methodology.,198795,Rolling,"IMF Balance of Payments Manual, 6th edition.",,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2012,"World Health Survey (WHS), 2003","Integrated household survey (IHS), 2011",Yes,2010,2011.0,2013.0,2007.0,7.018596280743848,18338.667,7.55848830233953,84.4031193761248,75.4292682926829,1331475.0,90.9299876656087
67,ETH,Ethiopia,Ethiopia,Federal Democratic Republic of Ethiopia,ET,Ethiopian birr,"Fiscal year end: July 7; reporting period for national accounts data: FY. Based on IMF data, national accounts data have been revised for 2000 onward; the new base year is 2010/11.",Sub-Saharan Africa,Low income,ET,2010/11,,Value added at basic prices (VAB),IDA,HIPC,Country uses the 1993 System of National Accounts methodology.,,2011,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Budgetary central government,General Data Dissemination System (GDDS),2007,"HIV/Maternal and Child Health (HIV/MCH) Service Provision Assessments (SPA), 2014","Expenditure survey/budget survey (ES/BS), 2010/11",,,2009.0,2013.0,2002.0,0.0,6618.935,78.17174515235459,0.0,61.296121951219504,87561814.0,58.206314751319
68,EMU,Euro area,Euro area,Euro area,XC,,Euro area aggregate.,,,XC,,,,,,,,,,,,,,,,,,,,,,28.4385895800138,2494689.4359999998,44.7879489878114,23.5979879701547,80.74824622433609,336199356.0,84.4817600155424
69,ECS,Europe & Central Asia (all income levels),Europe & Central Asia (all income levels),Europe & Central Asia (all income levels),Z7,,Europe and Central Asia regional aggregate (including high-income economies).,,,Z7,,,,,,,,,,,,,,,,,,,,,,35.293052093570104,6771582.26060869,32.04064786673,29.448334884447398,75.846929030925,889630390.0,82.56061393174541
70,ECA,Europe & Central Asia (developing only),Europe & Central Asia,Europe & Central Asia (developing only),7E,,Europe and Central Asia regional aggregate (does not include high-income economies).,,,7E,,,,,,,,,,,,,,,,,,,,,,36.9867111640493,1342906.99092126,20.565585153389694,38.0716093159076,71.5643786926977,256799097.0,65.168936157137
71,EUU,European Union,European Union,European Union,EU,,European Union aggregate.,,,EU,,,,,,,,,,,,,,,,,,,,,,27.5629549298754,3709379.519,40.3781497236439,29.20952551363889,79.7259224519391,504469008.0,84.7469608401556
72,FRO,Faeroe Islands,Faeroe Islands,Faeroe Islands,FO,Danish krone,,Europe & Central Asia,High income: nonOECD,FO,,,Value added at basic prices (VAB),,,Country uses the 1993 System of National Accounts methodology.,,,"IMF Balance of Payments Manual, 6th edition.",,General trade system,,,2011,,,Yes,,,2009.0,,0.0,630.724,100.0,0.0,80.64390243902442,48567.0,82.9311509258638
73,FJI,Fiji,Fiji,Republic of Fiji,FJ,Fijian dollar,"Based on data from the Bureau of Statistics, national accounts data on the expenditure side have been revised from 2005 onward; the new base year is 2005.",East Asia & Pacific,Upper middle income,FJ,2005,,Value added at basic prices (VAB),IBRD,,Country uses the 1993 System of National Accounts methodology.,,2011,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Budgetary central government,General Data Dissemination System (GDDS),2007,,"Expenditure survey/budget survey (ES/BS), 2008/09",Yes,2009,2010.0,2013.0,2000.0,0.0,1294.451,95.46742209631728,0.0,69.3843658536586,859952.0,50.29432985083079
74,FIN,Finland,Finland,Republic of Finland,FI,Euro,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 5.94573 Finnish markka. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",Europe & Central Asia,High income: OECD,FI,Original chained constant price data are rescaled.,2010,Value added at basic prices (VAB),,Euro area,Country uses the 2008 System of National Accounts methodology.,,Rolling,"IMF Balance of Payments Manual, 6th edition.",,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2010,,"Integrated household survey (IHS), 2010",Yes,2010,2010.0,2013.0,2005.0,14.2128668840795,61843.955,41.3874888823006,43.551734361102895,79.87073170731709,5363352.0,83.6520082040328
75,FCS,Fragile and conflict affected situations,Fragile and conflict affected situations,Fragile situations,F1,,"Fragile situations aggregate. Note:  Countries with fragile situations are primarily International Development Association-eligible countries and nonmember or inactive countries and territories with a 3.2 or lower harmonized average of the World Bank's Country Policy and Institutional Assessment rating and the corresponding rating by a regional development bank, or that have had a UN or regional peacebuilding and political mission (for example by the African Union, European Union, or Organization of American States) or peacekeeping mission (for example, by the African Union, European Union, North Atlantic Treaty Organization, or Organization of American States) during the last three years.  This definition is pursuant to an agreement between the World Bank and other multilateral development banks at the start of the International Development Association 15 round in 2007. The list of countries and territories with fragile situations  is imperfect and used here to reflect a complex concept. The World Bank continues to work with partners and client countries to refine the concept.",,,F1,,,,,,,,,,,,,,,,,,,,,,15.0387138136805,377984.7605835,67.0986832371653,7.426147852246388,60.6539816994586,429448546.0,64.54530767638771
76,FRA,France,France,French Republic,FR,Euro,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 6.55957 French franc. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",Europe & Central Asia,High income: OECD,FR,Original chained constant price data are rescaled.,2010,Value added at basic prices (VAB),,Euro area,Country uses the 2008 System of National Accounts methodology.,,Rolling,"IMF Balance of Payments Manual, 6th edition.",,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2006. Rolling census based on continuous sample survey.,,"Expenditure survey/budget survey (ES/BS), 2005",Yes,2010,2010.0,2013.0,2007.0,27.257525083612,357437.158,57.5938198904323,12.637216078133699,81.66341463414629,65027512.0,81.72058364407971
77,PYF,French Polynesia,French Polynesia,French Polynesia,PF,CFP franc,,East Asia & Pacific,High income: nonOECD,PF,1990,,,,,Country uses the 1993 System of National Accounts methodology.,,2011 (household consumption only).,,,Special trade system,,,2007,,,Yes,,,2013.0,,0.0,883.747,100.0,0.0,75.69539024390251,268065.0,57.662508473924895
78,GAB,Gabon,Gabon,Gabonese Republic,GA,Central African CFA franc,Based on IMF data and official government statistics; the new base year is 2001.,Sub-Saharan Africa,Upper middle income,GA,2001,,Value added at basic prices (VAB),IBRD,,Country uses the 1993 System of National Accounts methodology.,1993,2011,"IMF Balance of Payments Manual, 6th edition.",Estimate,Special trade system,,General Data Dissemination System (GDDS),2013,"Demographic and Health Survey (DHS), 2012","Core Welfare Indicator Questionnaire Survey (CWIQ)/Integrated household survey (IHS), 2005",,,,2009.0,2005.0,16.3398692810458,2244.2039999999997,79.4117647058823,0.0,62.1208292682927,1541936.0,56.2930482876754
79,GEO,Georgia,Georgia,Georgia,GE,Georgian lari,,Europe & Central Asia,Lower middle income,GE,Original chained constant price data are rescaled.,1996,Value added at basic prices (VAB),IBRD,,Country uses the 1993 System of National Accounts methodology.,199095,2011,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2002,"Multiple Indicator Cluster Survey (MICS), 2005; Reproductive Health Survey (RHS), 2005","Integrated household survey (IHS), 2012",Yes,,2011.0,2013.0,2008.0,32.2290847838293,6530.927,46.546883773161106,14.6546883773161,73.6747317073171,4452800.0,36.4123884943454
80,DEU,Germany,Germany,Federal Republic of Germany,DE,Euro,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 1.95583 German mark. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",Europe & Central Asia,High income: OECD,DE,Original chained constant price data are rescaled.,2010,Value added at basic prices (VAB),,Euro area,Country uses the 2008 System of National Accounts methodology.,,Rolling,"IMF Balance of Payments Manual, 6th edition.",,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2011,,"Integrated household survey (IHS), 2010",Yes,2010,2010.0,2013.0,2007.0,23.1197213714543,750697.2390000001,35.1353331672504,39.7548811285824,79.9878048780488,81776930.0,83.55910991822608
81,GHA,Ghana,Ghana,Republic of Ghana,GH,New Ghanaian cedi,"In 2010, the Ghana Statistical Service revised the base year for Ghana's national accounts series from 1993 to 2006. The new GDP data were about 60 percent higher than previously reported and incorporated improved data sources and methodology.",Sub-Saharan Africa,Lower middle income,GH,2006,,Value added at basic prices (VAB),IDA,HIPC,Country uses the 1993 System of National Accounts methodology.,197387,2011,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Budgetary central government,General Data Dissemination System (GDDS),2010,"Demographic and Health Survey (DHS), 2014","Living Standards Measurement Study Survey (LSMS), 2012",,2013/ 2014,2003.0,2013.0,2000.0,8.021778584392019,10102.585,80.14519056261341,0.0,60.6099756097561,24317734.0,55.6826576665598
82,GRC,Greece,Greece,Hellenic Republic,GR,Euro,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 340.75 Greek drachma. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",Europe & Central Asia,High income: OECD,GR,Original chained constant price data are rescaled.,2010,Value added at basic prices (VAB),,Euro area,Country uses the 2008 System of National Accounts methodology.,,Rolling,"IMF Balance of Payments Manual, 6th edition.",,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2011,,"Integrated household survey (IHS), 2010",Yes,2009,2007.0,2013.0,2007.0,8.54194857916103,86717.216,47.0652909336942,35.7620094722598,80.3878048780488,11153454.0,59.147969037804394
83,GRL,Greenland,Greenland,Greenland,GL,Danish krone,,Europe & Central Asia,High income: nonOECD,GL,1990,,,,,Country uses the 1993 System of National Accounts methodology.,,,,,General trade system,,,2010,,,Yes,,,2013.0,,0.0,663.727,100.0,0.0,70.8368292682927,56905.0,85.06951122520951
84,GRD,Grenada,Grenada,Grenada,GD,East Caribbean dollar,"April 2012 database update: Based on official government statistics, national accounts data were revised for 2000 onward; the base year changed to 2006.",Latin America & Caribbean,Upper middle income,GD,2006,,Value added at basic prices (VAB),Blend,,Country uses the 1968 System of National Accounts methodology.,,2011,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Budgetary central government,General Data Dissemination System (GDDS),2011,"Reproductive Health Survey (RHS), 1985",,Yes,2012,,2009.0,2005.0,0.0,260.357,100.0,0.0,72.5675121951219,104677.0,31.698398846891603
85,GUM,Guam,Guam,Guam,GU,U.S. dollar,,East Asia & Pacific,High income: nonOECD,GU,,,,,,Country uses the 1993 System of National Accounts methodology.,,2011 (household consumption only).,,,General trade system,,,2010,,,Yes,2007,,,,,,,,78.1008780487805,159440.0,90.2711085576093
86,GTM,Guatemala,Guatemala,Republic of Guatemala,GT,Guatemalan quetzal,,Latin America & Caribbean,Lower middle income,GT,2001,,Value added at basic prices (VAB),IBRD,,Country uses the 1993 System of National Accounts methodology.,,2011,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Budgetary central government,General Data Dissemination System (GDDS),2002,"Reproductive Health Survey (RHS), 2008/09","Living Standards Measurement Study Survey (LSMS), 2011",Yes,2013,,2013.0,2006.0,0.0,11367.7,79.741935483871,11.483870967741899,70.77546341463409,14732261.0,55.1889330609458
87,GIN,Guinea,Guinea,Republic of Guinea,GN,Guinean franc,,Sub-Saharan Africa,Low income,GN,2003,,Value added at basic prices (VAB),IDA,HIPC,Country uses the 1993 System of National Accounts methodology.,,2011,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Budgetary central government,General Data Dissemination System (GDDS),2014,"Demographic and Health Survey (DHS), 2012","Core Welfare Indicator Questionnaire Survey (CWIQ), 2012",,,,2008.0,2001.0,0.0,2486.226,100.0,0.0,56.305048780487795,11012406.0,59.059141705007704
88,GNB,Guinea-Bissau,Guinea-Bissau,Republic of Guinea-Bissau,GW,West African CFA franc,"In 2010, national accounts data for 2003-09 were revised. The new data had broader coverage of all sectors of the economy, and GDP in current prices averaged 89 percent higher than previous estimates.",Sub-Saharan Africa,Low income,GW,2005,,Value added at basic prices (VAB),IDA,HIPC,Country uses the 1993 System of National Accounts methodology.,,2011,"IMF Balance of Payments Manual, 6th edition.",Estimate,General trade system,,General Data Dissemination System (GDDS),2009,"Multiple Indicator Cluster Survey (MICS), 2014","Core Welfare Indicator Questionnaire Survey (CWIQ), 2010",,,,2005.0,2000.0,0.0,238.355,100.0,0.0,53.81436585365851,1634196.0,4.11666320516617
89,GUY,Guyana,Guyana,Co-operative Republic of Guyana,GY,Guyana dollar,"In 2010, the Bureau of Statistics introduced a new series of GDP rebased to year 2006. Current price GDP averaged 63 percent higher than previous estimates.",Latin America & Caribbean,Lower middle income,GY,2006,,Value added at basic prices (VAB),IDA,HIPC,Country uses the 1993 System of National Accounts methodology.,,,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,,General Data Dissemination System (GDDS),2012,"Multiple Indicator Cluster Survey (MICS), 2014","Integrated household survey (IHS), 1998",,,,2013.0,2010.0,0.0,1719.8229999999999,100.0,0.0,66.04270731707321,753362.0,80.53549256443499
90,HTI,Haiti,Haiti,Republic of Haiti,HT,Haitian gourde,"Fiscal year end: September 30; reporting period for national accounts data: FY. In 2010, the government revised national accounts data following changes in the methodology. Current price series since 1991 and constant price series since 1996 were revised.",Latin America & Caribbean,Low income,HT,1986/87,,Value added at basic prices (VAB),IDA,HIPC,Country uses the 1968 System of National Accounts methodology.,1991,2011,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,,General Data Dissemination System (GDDS),2003,"HIV/Maternal and Child Health (HIV/MCH) Service Provision Assessments (SPA), 2013","Integrated household survey (IHS), 2012",,2008/ 2009,,1997.0,2000.0,0.0,2119.526,93.2525951557093,0.0,61.2401219512195,9999617.0,91.4148052694054
91,HPC,Heavily indebted poor countries (HIPC),Heavily indebted poor countries (HIPC),Heavily indebted poor countries (HIPC),XE,,Heavily indebted poor countries aggregate.,,,XE,,,,,,,,,,,,,,,,,,,,,,9.130915990302519,139155.316,76.528407294192,4.3269737535575015,58.648520635222,628333588.0,60.2485408327176
92,HIC,High income,High income,High income,XD,,"High income group aggregate. High-income economies are those in which 2014 GNI per capita was $12,736 or more.",,,XD,,,,,,,,,,,,,,,,,,,,,,28.627161842954504,15363095.4778435,39.004074764189,30.164177340618,78.42194586488279,1368262960.0,71.6637359832667
93,NOC,High income: nonOECD,High income: nonOECD,High income: nonOECD,XR,,"High income nonOECD aggregate. High-income economies are those in which 2014 GNI per capita was $12,736 or more.",,,XR,,,,,,,,,,,,,,,,,,,,,,43.9804400672021,3638816.57413967,34.3564801098801,18.1094150687403,72.7420528399043,317681236.0,52.25764107228829
94,OEC,High income: OECD,High income: OECD,High income: OECD,XS,,"High income OECD members aggregate. High-income economies are those in which 2014 GNI per capita was $12,736 or more.",,,XS,,,,,,,,,,,,,,,,,,,,,,24.056761191041304,11812195.405,40.3822781155558,33.7526678597983,80.1363170174824,1050581724.0,76.7402431941991
95,HND,Honduras,Honduras,Republic of Honduras,HN,Honduran lempira,,Latin America & Caribbean,Lower middle income,HN,2000,,Value added at basic prices (VAB),IDA,HIPC,Country uses the 1993 System of National Accounts methodology.,198889,2011,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Consolidated central government,General Data Dissemination System (GDDS),2013,"Demographic and Health Survey (DHS), 2011/12","Integrated household survey (IHS), 2013",,2013,,2012.0,2003.0,0.0,8107.736999999999,83.31071913161459,5.608322026232472,72.3939756097561,7503875.0,67.4438735540117
96,HKG,"Hong Kong SAR, China","Hong Kong SAR, China",Hong Kong Special Administrative Region of the People's Republic of China,HK,Hong Kong dollar,"On 1 July 1997 China resumed its exercise of sovereignty over Hong Kong. Unless otherwise noted, data for China do not include data for Hong Kong SAR, China; Macao SAR, China; or Taiwan, China. Agriculture value added includes mining and quarrying.",East Asia & Pacific,High income: nonOECD,HK,Original chained constant price data are rescaled.,2013,Value added at basic prices (VAB),,,Country uses the 2008 System of National Accounts methodology.,,2011,"IMF Balance of Payments Manual, 6th edition.",,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2011,,,Yes,,2011.0,2012.0,,17.8658043654002,36288.632000000005,26.2631366208569,54.4967663702506,82.9780487804878,7024200.0,37.554312683827604
97,HUN,Hungary,Hungary,Hungary,HU,Hungarian forint,"April 2012 database update: Based on data from the Organisation for Economic Co-operation and Development, national accounts data were revised for 1991 onward.",Europe & Central Asia,High income: OECD,HU,Original chained constant price data are rescaled.,2010,Value added at basic prices (VAB),,,Country uses the 2008 System of National Accounts methodology.,,Rolling,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2011,"World Health Survey (WHS), 2003","Integrated household survey (IHS), 2012",Yes,2010,2010.0,2013.0,2007.0,44.3023339836693,50747.613,31.179998554808893,21.374376761326694,74.2073170731707,10000023.0,83.66865511420029
98,ISL,Iceland,Iceland,Republic of Iceland,IS,Iceland krona,,Europe & Central Asia,High income: OECD,IS,Original chained constant price data are rescaled.,2010,Value added at basic prices (VAB),,,Country uses the 2008 System of National Accounts methodology.,,Rolling,"IMF Balance of Payments Manual, 6th edition.",,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2011,,"Integrated household survey (IHS), 2010",Yes,2010,2005.0,2013.0,2005.0,0.0,1961.845,79.0654205607477,17.3831775700935,81.89756097560971,318041.0,95.76570642270107
